t,F
1.897083333000000039e+03,2.652048974915172153e+01
1.897166666999999961e+03,2.652129426531901046e+01
1.897250000000000000e+03,2.652209844037835040e+01
1.897333333000000039e+03,2.652290111090228919e+01
1.897416666999999961e+03,2.652370111404113473e+01
1.897500000000000000e+03,2.652450077735657885e+01
1.897583333000000039e+03,2.652529893785279214e+01
1.897666666999999961e+03,3.242833524335681261e+01
1.897750000000000000e+03,3.241790660636076638e+01
1.897833333000000039e+03,3.240748745509770856e+01
1.897916666999999961e+03,3.239707640146454537e+01
1.898000000000000000e+03,3.238667624902382158e+01
1.898083333000000039e+03,3.237628560791146981e+01
1.898166666999999961e+03,3.236467786950774439e+01
1.898250000000000000e+03,3.235430759933154832e+01
1.898333333000000039e+03,3.234272440464944509e+01
1.898416666999999961e+03,3.233237315033864689e+01
1.898500000000000000e+03,3.232081314280154771e+01
1.898583333000000039e+03,3.231048371349525894e+01
1.898666666999999961e+03,2.592651235365198303e+01
1.898750000000000000e+03,2.592017081515790622e+01
1.898833333000000039e+03,2.591382164736149107e+01
1.898916666999999961e+03,2.590746355645158516e+01
1.899000000000000000e+03,2.590109908797684213e+01
1.899083333000000039e+03,2.589472694938592312e+01
1.899166666999999961e+03,2.588834584312054687e+01
1.899250000000000000e+03,2.588195832226343995e+01
1.899333333000000039e+03,2.587556309052274273e+01
1.899416666999999961e+03,2.586915884657388887e+01
1.899500000000000000e+03,2.586274815107372405e+01
1.899583333000000039e+03,2.585632970397147545e+01
1.899666666999999961e+03,2.181564165291839430e+01
1.899750000000000000e+03,2.180810760360511580e+01
1.899833333000000039e+03,2.180056688621386485e+01
1.899916666999999961e+03,2.179301745024158166e+01
1.900000000000000000e+03,2.178546338821945483e+01
1.900083333000000039e+03,2.177790265084146171e+01
1.900166666999999961e+03,2.177033318411428198e+01
1.900250000000000000e+03,2.176275908765007472e+01
1.900333333000000039e+03,2.175517830865195279e+01
1.900416666999999961e+03,2.174758878963878672e+01
1.900500000000000000e+03,2.173999463730047665e+01
1.900583333000000039e+03,2.173239379535214510e+01
1.900666666999999961e+03,4.804438583258924922e+00
1.900750000000000000e+03,4.805357651417134335e+00
1.900833333000000039e+03,4.806278095843929954e+00
1.900916666999999961e+03,4.807199345481069308e+00
1.901000000000000000e+03,4.808122526284935638e+00
1.901083333000000039e+03,4.809047068469813446e+00
1.901166666999999961e+03,4.809972397210088069e+00
1.901250000000000000e+03,4.810899646042432032e+00
1.901333333000000039e+03,4.811828241410476714e+00
1.901416666999999961e+03,4.812757604731875638e+00
1.901500000000000000e+03,4.813688877102805463e+00
1.901583333000000039e+03,4.814621481206518006e+00
1.901666666999999961e+03,1.657567242054191325e+01
1.901750000000000000e+03,1.655956045179256364e+01
1.901833333000000039e+03,1.654344066910079292e+01
1.901916666999999961e+03,1.652731051365049453e+01
1.902000000000000000e+03,1.651117519309219617e+01
1.902083333000000039e+03,1.649503214957943342e+01
1.902166666999999961e+03,1.647887882224179990e+01
1.902250000000000000e+03,1.646272042368181943e+01
1.902333333000000039e+03,1.644655439398466257e+01
1.902416666999999961e+03,1.643037817027409275e+01
1.902500000000000000e+03,1.641419697001034095e+01
1.902583333000000039e+03,1.639800823125644413e+01
1.902666666999999961e+03,4.674533888233623813e+00
1.902750000000000000e+03,4.673974163884595079e+00
1.902833333000000039e+03,4.673416280606758733e+00
1.902916666999999961e+03,4.672859912394540238e+00
1.903000000000000000e+03,4.672305727588942581e+00
1.903083333000000039e+03,4.671753398857508621e+00
1.903166666999999961e+03,4.671202604218287036e+00
1.903250000000000000e+03,4.670654004004249238e+00
1.903333333000000039e+03,4.670107274903208427e+00
1.903416666999999961e+03,4.669562098966718366e+00
1.903500000000000000e+03,4.669019128499767746e+00
1.903583333000000039e+03,4.668478044220415235e+00
1.903666666999999961e+03,5.682415527983939008e+00
1.903750000000000000e+03,5.686845971950186041e+00
1.903833333000000039e+03,5.691286795780903240e+00
