year,F
1.914499999999968622e+03,-3.358708006408300406e+01
1.914583333333301880e+03,-3.392606290611838205e+01
1.914666666666635138e+03,-1.929235149659547233e+00
1.914749999999968395e+03,1.438861527661780570e+01
1.914833333333301653e+03,-1.094909827380327094e+01
1.914916666666634910e+03,-5.055842355180354986e+01
1.914999999999968168e+03,-3.825868703170809226e+01
1.915083333333301425e+03,-5.410984071228051917e+00
1.915166666666634683e+03,-2.177549377597539149e+01
1.915249999999967940e+03,-5.201329822178754370e+01
1.915333333333301198e+03,-3.514147734948535629e+01
1.915416666666634455e+03,2.102216644708132520e+00
1.915499999999967713e+03,9.760363298199141724e+00
1.915583333333300970e+03,-1.491302718332572042e+01
1.915666666666634228e+03,-4.198020700371102976e+01
1.915749999999967486e+03,-2.315417680326370231e+01
1.915833333333300743e+03,2.696128138915725003e+00
1.915916666666634001e+03,-2.456327108681328752e+01
1.915999999999967258e+03,-5.020823669578335569e+01
1.916083333333300516e+03,-2.325321184431693666e+01
1.916166666666633773e+03,8.150176191912038348e+00
1.916249999999967031e+03,2.115625263861275585e+00
1.916333333333300288e+03,-2.014959639648041900e+01
1.916416666666633546e+03,-3.154044816330040391e+01
1.916499999999966803e+03,-1.210813410227151365e+01
1.916583333333300061e+03,-3.129228142528237555e+00
1.916666666666633319e+03,-3.897866020377686880e+01
1.916749999999966576e+03,-5.508334832697446615e+01
1.916833333333299834e+03,-2.154214030119761247e+01
1.916916666666633091e+03,1.908318863721934378e+00
1.916999999999966349e+03,-1.092803947666144637e+01
1.917083333333299606e+03,-2.380085823348200336e+01
1.917166666666632864e+03,-2.175852148025590793e+01
1.917249999999966121e+03,-2.597457929454574099e+00
1.917333333333299379e+03,-3.595552164652794147e+00
1.917416666666632636e+03,-4.410898382310743671e+01
1.917499999999965894e+03,-5.121153816870948106e+01
1.917583333333299151e+03,-1.619203230473354438e+01
1.917666666666632409e+03,-5.867101536752299396e+00
1.917749999999965667e+03,-2.310357361121261732e+01
1.917833333333298924e+03,-2.450926730556932398e+01
1.917916666666632182e+03,-1.144543979510550358e+01
1.917999999999965439e+03,2.879645480796284573e+00
1.918083333333298697e+03,-3.713465268457362356e+00
1.918166666666631954e+03,-3.989360660961381200e+01
1.918249999999965212e+03,-4.326073523247661967e+01
1.918333333333298469e+03,-1.174283490181059619e+01
1.918416666666631727e+03,-9.500911768077004993e+00
